"","CNA_cohort","CNA_covered_in_sc23"
"101","chr3_83170860_85956385","chr3_83171667_83992887,chr3_83992887_84074251,chr3_84074251_84119240,chr3_84119240_84307709,chr3_84307709_84367948,chr3_84367948_84519867,chr3_84519867_84613028,chr3_84613028_84783465,chr3_84783465_85091219,chr3_85091219_85156995,chr3_85156995_85394986,chr3_85394986_85452912,chr3_85452912_85890564"
"102","chr3_86947679_94038940","chr3_87120666_87204175,chr3_87204175_87221289,chr3_87221289_87233614,chr3_87233614_87340806,chr3_87340806_87440440,chr3_87440440_88020678,chr3_88020678_88217153,chr3_88217153_88273003,chr3_88273003_88278842,chr3_88278842_88486397,chr3_88486397_88549296,chr3_88549296_88599361,chr3_88599361_88862072,chr3_88862072_88976845,chr3_88976845_89043043,chr3_89043043_89083375,chr3_89083375_89216634,chr3_89216634_89320611,chr3_89320611_89350237,chr3_89350237_89538180,chr3_89538180_89686775,chr3_89686775_90197285,chr3_90197285_90235098,chr3_90235098_90278819,chr3_90278819_90347264,chr3_90347264_90405430,chr3_90405430_90439902,chr3_90439902_93573270,chr3_93573270_93872993,chr3_93872993_93934142,chr3_93934142_93969158,chr3_93969158_94019612"
"103","chr3_94563215_95621425","chr3_94636225_94746085,chr3_94746085_94834868,chr3_94834868_94862512,chr3_94862512_95384431,chr3_95384431_95459621"
"104","chr3_96086809_107496258","chr3_ 96090331_ 96146187,chr3_ 96146187_ 96228545,chr3_ 96228545_ 96252431,chr3_ 96252431_ 96372889,chr3_ 96372889_ 96428097,chr3_ 96428097_ 96492736,chr3_ 96492736_ 96695906,chr3_ 96695906_ 96789303,chr3_ 96789303_ 96843364,chr3_ 96843364_ 96854228,chr3_ 96854228_ 96877275,chr3_ 96877275_ 96928701,chr3_ 96928701_ 97064972,chr3_ 97064972_ 97108610,chr3_ 97108610_ 97160036,chr3_ 97160036_ 97197134,chr3_ 97197134_ 97290180,chr3_ 97290180_ 97308065,chr3_ 97308065_ 97346787,chr3_ 97346787_ 97351974,chr3_ 97351974_ 97428259,chr3_ 97428259_ 97454347,chr3_ 97454347_ 97461724,chr3_ 97461724_ 97471443,chr3_ 97471443_ 97516746,chr3_ 97516746_ 97573055,chr3_ 97573055_ 97742007,chr3_ 97742007_ 97774992,chr3_ 97774992_ 97907595,chr3_ 97907595_ 97988257,chr3_ 97988257_ 98034621,chr3_ 98034621_ 98229221,chr3_ 98229221_ 98291248,chr3_ 98291248_ 98316409,chr3_ 98316409_ 98431782,chr3_ 98431782_ 98463292,chr3_ 98463292_ 98578432,chr3_ 98578432_ 98627521,chr3_ 98627521_ 98700071,chr3_ 98700071_ 98727413,chr3_ 98727413_ 98806450,chr3_ 98806450_ 98881808,chr3_ 98881808_ 98953264,chr3_ 98953264_ 99069234,chr3_ 99069234_ 99078116,chr3_ 99078116_ 99131138,chr3_ 99131138_ 99299969,chr3_ 99299969_ 99327966,chr3_ 99327966_ 99615715,chr3_ 99615715_ 99640362,chr3_ 99640362_ 99744721,chr3_ 99744721_ 99783497,chr3_ 99783497_ 99830058,chr3_ 99830058_ 99885387,chr3_ 99885387_ 99942873,chr3_ 99942873_100002419,chr3_100002419_100054513,chr3_100054513_100216535,chr3_100216535_100443479,chr3_100443479_100507476,chr3_100507476_100567854,chr3_100567854_100671663,chr3_100671663_100750902,chr3_100750902_100808828,chr3_100808828_100915539,chr3_100915539_101033910,chr3_101033910_101049361,chr3_101049361_101132748,chr3_101132748_101214455,chr3_101214455_101224150,chr3_101224150_101248907,chr3_101248907_101264794,chr3_101264794_101475456,chr3_101475456_101552359,chr3_101552359_101584784,chr3_101584784_101599654,chr3_101599654_101654546,chr3_101654546_101775417,chr3_101775417_101842714,chr3_101842714_101999687,chr3_101999687_102004570,chr3_102004570_102065721,chr3_102065721_102117194,chr3_102117194_102146548,chr3_102146548_102171982,chr3_102171982_102244051,chr3_102244051_102292345,chr3_102292345_102358339,chr3_102358339_102427380,chr3_102427380_102603576,chr3_102603576_102751541,chr3_102751541_102833967,chr3_102833967_102947919,chr3_102947919_103015256,chr3_103015256_103150117,chr3_103150117_103308389,chr3_103308389_103327002,chr3_103327002_103400703,chr3_103400703_103638400,chr3_103638400_103867598,chr3_103867598_103980292,chr3_103980292_104045885,chr3_104045885_104081588,chr3_104081588_104288134,chr3_104288134_104330284,chr3_104330284_104363736,chr3_104363736_104418795,chr3_104418795_104460489,chr3_104460489_104487020,chr3_104487020_104551949,chr3_104551949_104726585,chr3_104726585_104759372,chr3_104759372_104828663,chr3_104828663_104858713,chr3_104858713_104917042,chr3_104917042_104991537,chr3_104991537_105066679,chr3_105066679_105163394,chr3_105163394_105441592,chr3_105441592_105521380,chr3_105521380_105595807,chr3_105595807_105689523,chr3_105689523_105754125,chr3_105754125_105873865,chr3_105873865_105994250,chr3_105994250_106251507,chr3_106251507_106262327,chr3_106262327_106334485,chr3_106334485_106510990,chr3_106510990_106588111,chr3_106588111_106623597,chr3_106623597_106742974,chr3_106742974_106787253,chr3_106787253_106828563,chr3_106828563_106886188,chr3_106886188_106942877,chr3_106942877_107031933,chr3_107031933_107144227,chr3_107144227_107183825,chr3_107183825_107216804,chr3_107216804_107300778,chr3_107300778_107324656,chr3_107324656_107352650,chr3_107352650_107372216,chr3_107372216_107433103"
"105","chr3_107673726_107799521","chr3_107714889_107750408"
"106","chr3_108559662_110301029","chr3_108599702_108646807,chr3_108646807_108671247,chr3_108671247_108680593,chr3_108680593_108700331,chr3_108700331_108813944,chr3_108813944_108840798,chr3_108840798_108889959,chr3_108889959_108926705,chr3_108926705_109085822,chr3_109085822_109214175,chr3_109214175_109279073,chr3_109279073_109312237,chr3_109312237_109421519,chr3_109421519_109490768,chr3_109490768_109561330,chr3_109561330_109623006,chr3_109623006_109964188,chr3_109964188_110057147,chr3_110057147_110092842,chr3_110092842_110172970"
"107","chr3_110561694_111249902","chr3_110569295_110655733,chr3_110655733_110762173,chr3_110762173_110784238,chr3_110784238_110949527,chr3_110949527_110967730,chr3_110967730_111067603,chr3_111067603_111145179,chr3_111145179_111158772,chr3_111158772_111178336,chr3_111178336_111235078"
"108","chr3_114311377_114577652","chr3_114337960_114400969,chr3_114400969_114467617"
"109","chr3_118065039_118183581","chr3_118084669_118111031"
"110","chr3_118219741_118399506","chr3_118271212_118359754"
"111","chr3_118625420_118758134","chr3_118657847_118658258,chr3_118658258_118737549"
"112","chr3_118828307_122644971","chr3_118861137_118896414,chr3_118896414_118929383,chr3_118929383_119056069,chr3_119056069_119101537,chr3_119101537_119143740,chr3_119143740_119247206,chr3_119247206_119438867,chr3_119438867_119645575,chr3_119645575_119732131,chr3_119732131_119785660,chr3_119785660_119869236,chr3_119869236_119925339,chr3_119925339_120012862,chr3_120012862_120030179,chr3_120030179_120184525,chr3_120184525_120232193,chr3_120232193_120310530,chr3_120310530_120392483,chr3_120392483_120502176,chr3_120502176_120543342,chr3_120543342_120619570,chr3_120619570_120689136,chr3_120689136_120784830,chr3_120784830_120969903,chr3_120969903_121122144,chr3_121122144_121270038,chr3_121270038_121319586,chr3_121319586_121355002,chr3_121355002_121403544,chr3_121403544_121481588,chr3_121481588_121659765,chr3_121659765_121700467,chr3_121700467_121734530,chr3_121734530_121785686,chr3_121785686_121814750,chr3_121814750_121863577,chr3_121863577_121891757,chr3_121891757_121924533,chr3_121924533_121988132,chr3_121988132_122037769,chr3_122037769_122118985,chr3_122118985_122258556,chr3_122258556_122348154,chr3_122348154_122367773,chr3_122367773_122439581,chr3_122439581_122635566"
"113","chr3_123753844_124440945","chr3_123816936_124194507,chr3_124194507_124259495,chr3_124259495_124341315"
"114","chr3_126870350_128712429","chr3_127066896_127558487,chr3_127558487_127574181,chr3_127574181_127614379,chr3_127614379_127847128,chr3_127847128_127897542,chr3_127897542_127996886,chr3_127996886_128067537,chr3_128067537_128213335,chr3_128213335_128246285,chr3_128246285_128685960"
"115","chr3_128842347_129724711","chr3_129003906_129139779,chr3_129139779_129300392,chr3_129300392_129337196,chr3_129337196_129431199,chr3_129431199_129605636,chr3_129605636_129675702"
"116","chr3_130583088_133712457","chr3_130808741_130860009,chr3_130860009_130905508,chr3_130905508_131216537,chr3_131216537_131227432,chr3_131227432_131311324,chr3_131311324_131414440,chr3_131414440_131450299,chr3_131450299_131481050,chr3_131481050_131545665,chr3_131545665_131670172,chr3_131670172_131837368,chr3_131837368_131862207,chr3_131862207_132008457,chr3_132008457_132045841,chr3_132045841_132054516,chr3_132054516_132101484,chr3_132101484_132141124,chr3_132141124_132360247,chr3_132360247_132464125,chr3_132464125_132546100,chr3_132546100_132583525,chr3_132583525_132823807,chr3_132823807_132908404,chr3_132908404_133041957,chr3_133041957_133075916,chr3_133075916_133194595,chr3_133194595_133306862,chr3_133306862_133409134,chr3_133409134_133556084,chr3_133556084_133601575,chr3_133601575_133638239,chr3_133638239_133685852"
"117","chr4_176048_48529166","chr4_  381490_  451238,chr4_  451238_  516843,chr4_  516843_  545755,chr4_  545755_ 1108804,chr4_ 1108804_ 1194140,chr4_ 1194140_ 2554633,chr4_ 2554633_ 2866501,chr4_ 2866501_ 2979959,chr4_ 2979959_ 3161723,chr4_ 3161723_ 4033770,chr4_ 4033770_ 4236985,chr4_ 4236985_ 4357254,chr4_ 4357254_ 4428504,chr4_ 4428504_ 4674806,chr4_ 4674806_ 4886947,chr4_ 4886947_ 4972412,chr4_ 4972412_ 5007949,chr4_ 5007949_ 5042391,chr4_ 5042391_ 5071938,chr4_ 5071938_ 5129003,chr4_ 5129003_ 5240433,chr4_ 5240433_ 5337245,chr4_ 5337245_ 5406490,chr4_ 5406490_ 5490921,chr4_ 5490921_ 5559929,chr4_ 5559929_ 5716302,chr4_ 5716302_ 5809701,chr4_ 5809701_ 5882536,chr4_ 5882536_ 5994606,chr4_ 5994606_ 6087350,chr4_ 6087350_ 6557255,chr4_ 6557255_ 6816405,chr4_ 6816405_ 6868774,chr4_ 6868774_ 6994097,chr4_ 6994097_ 8684515,chr4_ 8684515_ 8780338,chr4_ 8780338_ 8878661,chr4_ 8878661_ 8922113,chr4_ 8922113_ 8976182,chr4_ 8976182_ 9483503,chr4_ 9483503_ 9755679,chr4_ 9755679_ 9831926,chr4_ 9831926_ 9878350,chr4_ 9878350_10013683,chr4_10013683_10085515,chr4_10085515_10130153,chr4_10130153_10325643,chr4_10325643_10386701,chr4_10386701_10484347,chr4_10484347_10592938,chr4_10592938_10660907,chr4_10660907_10709739,chr4_10709739_10924460,chr4_10924460_10987887,chr4_10987887_11230441,chr4_11230441_11450648,chr4_11450648_11471432,chr4_11471432_11539364,chr4_11539364_11594926,chr4_11594926_11679573,chr4_11679573_11817482,chr4_11817482_11871645,chr4_11871645_12022270,chr4_12022270_12102118,chr4_12102118_12260735,chr4_12260735_12295795,chr4_12295795_12559652,chr4_12559652_12806984,chr4_12806984_12864636,chr4_12864636_12923799,chr4_12923799_12982781,chr4_12982781_13014410,chr4_13014410_13057410,chr4_13057410_13088071,chr4_13088071_13217859,chr4_13217859_13238399,chr4_13238399_13314933,chr4_13314933_13356420,chr4_13356420_13503028,chr4_13503028_13636087,chr4_13636087_13700376,chr4_13700376_13738244,chr4_13738244_13811552,chr4_13811552_13995832,chr4_13995832_14049167,chr4_14049167_14141538,chr4_14141538_14304169,chr4_14304169_14461197,chr4_14461197_14574581,chr4_14574581_14711831,chr4_14711831_14762969,chr4_14762969_14796790,chr4_14796790_14849849,chr4_14849849_14885590,chr4_14885590_14939403,chr4_14939403_14958052,chr4_14958052_15029621,chr4_15029621_15208327,chr4_15208327_15256547,chr4_15256547_15392756,chr4_15392756_15425970,chr4_15425970_15447207,chr4_15447207_15486878,chr4_15486878_15533738,chr4_15533738_15743168,chr4_15743168_15777249,chr4_15777249_15852632,chr4_15852632_15941428,chr4_15941428_16058409,chr4_16058409_16102554,chr4_16102554_16214451,chr4_16214451_16256880,chr4_16256880_16378374,chr4_16378374_16470619,chr4_16470619_16596841,chr4_16596841_16630986,chr4_16630986_16648879,chr4_16648879_16809452,chr4_16809452_16856568,chr4_16856568_16929411,chr4_16929411_17042416,chr4_17042416_17210294,chr4_17210294_17293062,chr4_17293062_17329391,chr4_17329391_17343338,chr4_17343338_17426488,chr4_17426488_17473009,chr4_17473009_17557220,chr4_17557220_17740954,chr4_17740954_17923630,chr4_17923630_17987565,chr4_17987565_18035477,chr4_18035477_18096512,chr4_18096512_18153915,chr4_18153915_18231799,chr4_18231799_18281528,chr4_18281528_18351858,chr4_18351858_18399442,chr4_18399442_18688314,chr4_18688314_18785527,chr4_18785527_19466058,chr4_19466058_19494430,chr4_19494430_19586664,chr4_19586664_19824960,chr4_19824960_19875109,chr4_19875109_19894292,chr4_19894292_19997492,chr4_19997492_20034454,chr4_20034454_20140164,chr4_20140164_20164080,chr4_20164080_20219527,chr4_20219527_20403913,chr4_20403913_20459501,chr4_20459501_20620078,chr4_20620078_20638109,chr4_20638109_20774906,chr4_20774906_20808004,chr4_20808004_20935433,chr4_20935433_21022027,chr4_21022027_21060397,chr4_21060397_21116013,chr4_21116013_21301024,chr4_21301024_21540586,chr4_21540586_21574138,chr4_21574138_21732236,chr4_21732236_21887747,chr4_21887747_21920126,chr4_21920126_21979929,chr4_21979929_22100621,chr4_22100621_22124019,chr4_22124019_22219017,chr4_22219017_22264256,chr4_22264256_22307833,chr4_22307833_22365414,chr4_22365414_22494102,chr4_22494102_22829079,chr4_22829079_23044216,chr4_23044216_23072537,chr4_23072537_23210169,chr4_23210169_23311845,chr4_23311845_23438358,chr4_23438358_23498005,chr4_23498005_23629219,chr4_23629219_23693546,chr4_23693546_23758165,chr4_23758165_23795903,chr4_23795903_24190701,chr4_24190701_24374394,chr4_24374394_24451381,chr4_24451381_24462108,chr4_24462108_24501904,chr4_24501904_24615799,chr4_24615799_24694750,chr4_24694750_24719748,chr4_24719748_24732024,chr4_24732024_24784464,chr4_24784464_24862022,chr4_24862022_24925141,chr4_24925141_24980813,chr4_24980813_25018380,chr4_25018380_25121218,chr4_25121218_25193115,chr4_25193115_25212114,chr4_25212114_25437363,chr4_25437363_25523056,chr4_25523056_25584069,chr4_25584069_25634362,chr4_25634362_25907254,chr4_25907254_25953042,chr4_25953042_26063079,chr4_26063079_26090989,chr4_26090989_26177282,chr4_26177282_26223964,chr4_26223964_26239301,chr4_26239301_26291300,chr4_26291300_26332137,chr4_26332137_26462786,chr4_26462786_26544978,chr4_26544978_26597758,chr4_26597758_26652384,chr4_26652384_26757925,chr4_26757925_26817584,chr4_26817584_26822124,chr4_26822124_26872763,chr4_26872763_26906579,chr4_26906579_26998123,chr4_26998123_27058989,chr4_27058989_27168648,chr4_27168648_27313257,chr4_27313257_27356059,chr4_27356059_27399003,chr4_27399003_27507211,chr4_27507211_27544189,chr4_27544189_27727655,chr4_27727655_27760845,chr4_27760845_27806003,chr4_27806003_27829704,chr4_27829704_27894894,chr4_27894894_27903957,chr4_27903957_27991733,chr4_27991733_28161946,chr4_28161946_28213716,chr4_28213716_28267099,chr4_28267099_28356593,chr4_28356593_28446811,chr4_28446811_28549612,chr4_28549612_28625406,chr4_28625406_28643963,chr4_28643963_28774115,chr4_28774115_28815911,chr4_28815911_29122625,chr4_29122625_29178895,chr4_29178895_29266046,chr4_29266046_29523205,chr4_29523205_29646120,chr4_29646120_29729184,chr4_29729184_29734931,chr4_29734931_29833626,chr4_29833626_29931959,chr4_29931959_30146962,chr4_30146962_30194951,chr4_30194951_30243782,chr4_30243782_30347992,chr4_30347992_30466895,chr4_30466895_30482895,chr4_30482895_30522823,chr4_30522823_30690536,chr4_30690536_31046289,chr4_31046289_31158157,chr4_31158157_31344762,chr4_31344762_31684521,chr4_31684521_31786529,chr4_31786529_31920199,chr4_31920199_31953184,chr4_31953184_32119633,chr4_32119633_32180305,chr4_32180305_32235195,chr4_32235195_32342420,chr4_32342420_32412995,chr4_32412995_32444514,chr4_32444514_32458638,chr4_32458638_32478628,chr4_32478628_32538592,chr4_32538592_32654860,chr4_32654860_32662969,chr4_32662969_32751491,chr4_32751491_33064678,chr4_33064678_33140611,chr4_33140611_33215079,chr4_33215079_33296819,chr4_33296819_33319558,chr4_33319558_33691947,chr4_33691947_33756016,chr4_33756016_33816872,chr4_33816872_34055795,chr4_34055795_34127112,chr4_34127112_34179731,chr4_34179731_34245803,chr4_34245803_34330516,chr4_34330516_34382601,chr4_34382601_34397086,chr4_34397086_34702553,chr4_34702553_34848817,chr4_34848817_34898504,chr4_34898504_34967975,chr4_34967975_35199585,chr4_35199585_35269471,chr4_35269471_35305007,chr4_35305007_35392056,chr4_35392056_35469568,chr4_35469568_35491946,chr4_35491946_35517752,chr4_35517752_35582900,chr4_35582900_35614269,chr4_35614269_35675845,chr4_35675845_35819589,chr4_35819589_35925894,chr4_35925894_35952589,chr4_35952589_35998688,chr4_35998688_36041167,chr4_36041167_36084878,chr4_36084878_36116048,chr4_36116048_36167435,chr4_36167435_36183672,chr4_36183672_36212108,chr4_36212108_36238684,chr4_36238684_36301103,chr4_36301103_36329718,chr4_36329718_36365388,chr4_36365388_36483416,chr4_36483416_36634021,chr4_36634021_36739954,chr4_36739954_36819699,chr4_36819699_36877229,chr4_36877229_36954454,chr4_36954454_37042486,chr4_37042486_37111770,chr4_37111770_37225231,chr4_37225231_37379471,chr4_37379471_37419276,chr4_37419276_37504524,chr4_37504524_37564067,chr4_37564067_37578753,chr4_37578753_37621664,chr4_37621664_37633524,chr4_37633524_37802297,chr4_37802297_37978241,chr4_37978241_37983941,chr4_37983941_38031326,chr4_38031326_38087901,chr4_38087901_38218150,chr4_38218150_38240481,chr4_38240481_38291373,chr4_38291373_38478274,chr4_38478274_38519810,chr4_38519810_38614377,chr4_38614377_38647704,chr4_38647704_38694487,chr4_38694487_38770438,chr4_38770438_38786056,chr4_38786056_38865409,chr4_38865409_38899216,chr4_38899216_39037431,chr4_39037431_39113418,chr4_39113418_39152655,chr4_39152655_39191496,chr4_39191496_39280941,chr4_39280941_39332463,chr4_39332463_39391205,chr4_39391205_39437389,chr4_39437389_39477685,chr4_39477685_39610971,chr4_39610971_39872103,chr4_39872103_39920068,chr4_39920068_40002743,chr4_40002743_40088037,chr4_40088037_40137267,chr4_40137267_40170300,chr4_40170300_40268773,chr4_40268773_40310842,chr4_40310842_40472428,chr4_40472428_40640803,chr4_40640803_40749208,chr4_40749208_40787881,chr4_40787881_40854043,chr4_40854043_40868803,chr4_40868803_41026313,chr4_41026313_41096945,chr4_41096945_41241702,chr4_41241702_41281375,chr4_41281375_41331310,chr4_41331310_41484277,chr4_41484277_41671143,chr4_41671143_41709756,chr4_41709756_41790668,chr4_41790668_41843534,chr4_41843534_41927576,chr4_41927576_42006780,chr4_42006780_42160211,chr4_42160211_42230268,chr4_42230268_42294890,chr4_42294890_42378746,chr4_42378746_42622158,chr4_42622158_42687066,chr4_42687066_42860247,chr4_42860247_43171048,chr4_43171048_43259525,chr4_43259525_43284853,chr4_43284853_43377391,chr4_43377391_43463204,chr4_43463204_43723231,chr4_43723231_43764727,chr4_43764727_43868860,chr4_43868860_44030822,chr4_44030822_44109335,chr4_44109335_44122743,chr4_44122743_44166780,chr4_44166780_44279473,chr4_44279473_44566242,chr4_44566242_44719193,chr4_44719193_44770556,chr4_44770556_44784910,chr4_44784910_44867102,chr4_44867102_44925017,chr4_44925017_44986369,chr4_44986369_45011557,chr4_45011557_45261044,chr4_45261044_45342407,chr4_45342407_45436819,chr4_45436819_45520980,chr4_45520980_45586445,chr4_45586445_45620284,chr4_45620284_45702595,chr4_45702595_45730345,chr4_45730345_45773857,chr4_45773857_45837886,chr4_45837886_45907664,chr4_45907664_45987647,chr4_45987647_46084013,chr4_46084013_46317198,chr4_46317198_46386307,chr4_46386307_46438312,chr4_46438312_46562755,chr4_46562755_46668566,chr4_46668566_46693236,chr4_46693236_46888851,chr4_46888851_46963634,chr4_46963634_47075884,chr4_47075884_47143663,chr4_47143663_47192338,chr4_47192338_47342245,chr4_47342245_47371831,chr4_47371831_47413560,chr4_47413560_47481567,chr4_47481567_47570660,chr4_47570660_47830860,chr4_47830860_47868197,chr4_47868197_47951435,chr4_47951435_47964793,chr4_47964793_48009460,chr4_48009460_48224736,chr4_48224736_48247403,chr4_48247403_48462236"
"118","chr4_55250553_56480440","chr4_55275148_55360367,chr4_55360367_55556115,chr4_55556115_55671577,chr4_55671577_55714230,chr4_55714230_55736529,chr4_55736529_55766658,chr4_55766658_55886541,chr4_55886541_55923764,chr4_55923764_56012142,chr4_56012142_56048394,chr4_56048394_56115529,chr4_56115529_56147645,chr4_56147645_56184042,chr4_56184042_56381287,chr4_56381287_56474945"
"119","chr4_57144821_57398701","chr4_57156853_57183332,chr4_57183332_57319358,chr4_57319358_57395514"
"120","chr4_57466570_62795055","chr4_57468444_57497127,chr4_57497127_57512330,chr4_57512330_57550614,chr4_57550614_57561450,chr4_57561450_57620581,chr4_57620581_57697095,chr4_57697095_57920124,chr4_57920124_58002637,chr4_58002637_58026148,chr4_58026148_58101331,chr4_58101331_58174516,chr4_58174516_58259959,chr4_58259959_58322517,chr4_58322517_58396170,chr4_58396170_58555939,chr4_58555939_58944192,chr4_58944192_59043131,chr4_59043131_59062696,chr4_59062696_59108771,chr4_59108771_59201299,chr4_59201299_59287750,chr4_59287750_59414221,chr4_59414221_59490373,chr4_59490373_59543242,chr4_59543242_59624093,chr4_59624093_59646410,chr4_59646410_59921852,chr4_59921852_59971171,chr4_59971171_59987225,chr4_59987225_60066883,chr4_60066883_60145588,chr4_60145588_60181697,chr4_60181697_60278447,chr4_60278447_60556212,chr4_60556212_60619018,chr4_60619018_60666253,chr4_60666253_60711676,chr4_60711676_60795411,chr4_60795411_60933153,chr4_60933153_60955550,chr4_60955550_61078274,chr4_61078274_61121659,chr4_61121659_61372929,chr4_61372929_61432841,chr4_61432841_61489698,chr4_61489698_61629650,chr4_61629650_61703284,chr4_61703284_61743637,chr4_61743637_61776687,chr4_61776687_61788739,chr4_61788739_62057061,chr4_62057061_62110115,chr4_62110115_62147498,chr4_62147498_62260999,chr4_62260999_62295700,chr4_62295700_62402440,chr4_62402440_62498605,chr4_62498605_62550275,chr4_62550275_62670237,chr4_62670237_62724029,chr4_62724029_62769506"
